key,onset_years,fold,marker_position,distance_to_anchor,af,nAA,nRR
neutral/rep0312,0,3,4977575.0,22425.0,0.045,19,9125
neutral/rep0313,0,1,8517712.0,3517712.0,0.03,4,9434
neutral/rep0314,0,1,6059096.0,1059096.0,0.0175,6,9651
neutral/rep0315,0,1,4932471.0,67529.0,0.06,34,8745
neutral/rep0316,0,0,5001865.0,1865.0,0.095,94,8143
neutral/rep0317,0,2,4840415.0,159585.0,0.12,141,7692
neutral/rep0318,0,0,9511743.0,4511743.0,0.02,3,9598
neutral/rep0319,0,1,834446.0,4165554.0,0.22,453,6137
neutral/rep0320,0,2,8699197.0,3699197.0,0.075,51,8547
neutral/rep0321,0,4,4520793.0,479207.0,0.1225,153,7590
neutral/rep0322,0,1,4998294.0,1706.0,0.0475,17,9082
neutral/rep0323,0,1,5365884.0,365884.0,0.035,6,9325
neutral/rep0324,0,0,4769336.0,230664.0,0.0675,48,8675
neutral/rep0325,0,2,5183986.0,183986.0,0.0925,94,8254
neutral/rep0326,0,1,4637069.0,362931.0,0.055,28,8891
neutral/rep0327,0,3,5310310.0,310310.0,0.1125,138,7855
neutral/rep0328,0,0,4414606.0,585394.0,0.27,690,5422
neutral/rep0329,0,2,4789060.0,210940.0,0.085,79,8401
neutral/rep0330,0,1,3805578.0,1194422.0,0.2225,463,6078
neutral/rep0331,0,3,5000144.0,144.0,0.025,4,9456
neutral/rep0332,0,1,437862.0,4562138.0,0.07,43,8671
neutral/rep0333,0,2,4870564.0,129436.0,0.045,21,9125
neutral/rep0334,0,3,4862021.0,137979.0,0.0975,89,8113
neutral/rep0335,0,2,4997611.0,2389.0,0.0175,1,9649
neutral/rep0336,0,2,4564123.0,435877.0,0.135,187,7409
neutral/rep0337,0,2,6436857.0,1436857.0,0.045,23,9121
neutral/rep0338,0,4,2546222.0,2453778.0,0.0525,31,8987
neutral/rep0339,0,2,4817513.0,182487.0,0.0175,3,9678
neutral/rep0340,0,0,8343605.0,3343605.0,0.065,44,8786
neutral/rep0341,0,2,3979392.0,1020608.0,0.035,13,9299
neutral/rep0342,0,2,3784538.0,1215462.0,0.01,2,9807
neutral/rep0343,0,1,5001402.0,1402.0,0.0075,1,9852
neutral/rep0344,0,0,4999761.0,239.0,0.0025,0,9948
neutral/rep0345,0,4,4535752.0,464248.0,0.035,8,9322
neutral/rep0346,0,2,305359.0,4694641.0,0.07,37,8674
neutral/rep0347,0,1,5000453.0,453.0,0.1025,102,8052
neutral/rep0348,0,2,721449.0,4278551.0,0.02,0,9601
neutral/rep0349,0,1,5101410.0,101410.0,0.055,28,8943
neutral/rep0350,0,3,4752091.0,247909.0,0.2525,603,5604
neutral/rep0351,0,3,5060773.0,60773.0,0.065,45,8707
neutral/rep0352,0,2,5430632.0,430632.0,0.045,21,9105
neutral/rep0353,0,3,5052676.0,52676.0,0.055,29,8908
neutral/rep0354,0,2,3677868.0,1322132.0,0.0925,100,8258
neutral/rep0355,0,4,5105624.0,105624.0,0.0075,0,9856
neutral/rep0356,0,4,4645647.0,354353.0,0.3375,1131,4305
neutral/rep0357,0,4,4998314.0,1686.0,0.0225,6,9497
neutral/rep0358,0,4,4999358.0,642.0,0.0125,3,9772
neutral/rep0359,0,0,4998053.0,1947.0,0.1225,130,7673
neutral/rep0360,0,3,3742057.0,1257943.0,0.0825,69,8404
neutral/rep0361,0,4,4690957.0,309043.0,0.015,1,9705
neutral/rep0362,0,2,4979032.0,20968.0,0.0375,12,9270
neutral/rep0363,0,3,4563799.0,436201.0,0.015,1,9726
neutral/rep0364,0,0,4835612.0,164388.0,0.03,7,9409
neutral/rep0365,0,2,5230700.0,230700.0,0.0375,15,9261
neutral/rep0366,0,3,5164175.0,164175.0,0.1275,166,7580
neutral/rep0367,0,1,4998514.0,1486.0,0.2825,791,5125
neutral/rep0368,0,2,3983833.0,1016167.0,0.1475,226,7206
neutral/rep0369,0,1,3453380.0,1546620.0,0.0175,4,9640
neutral/rep0370,0,2,4728345.0,271655.0,0.0025,0,9940
neutral/rep0371,0,3,5666321.0,666321.0,0.02,3,9598
neutral/rep0372,0,4,4076297.0,923703.0,0.0325,7,9371
neutral/rep0373,0,0,6365878.0,1365878.0,0.0175,4,9648
neutral/rep0374,0,2,1286870.0,3713130.0,0.015,0,9699
neutral/rep0375,0,2,5000823.0,823.0,0.0225,5,9587
neutral/rep0376,0,1,5000427.0,427.0,0.265,695,5457
neutral/rep0377,0,3,4315091.0,684909.0,0.07,51,8687
neutral/rep0378,0,3,9127577.0,4127577.0,0.21,437,6184
neutral/rep0379,0,2,5002501.0,2501.0,0.0225,6,9582
neutral/rep0380,0,0,5178729.0,178729.0,0.1775,321,6743
neutral/rep0381,0,0,5221547.0,221547.0,0.1125,117,7891
neutral/rep0382,0,2,6594740.0,1594740.0,0.045,31,9121
neutral/rep0383,0,0,4563831.0,436169.0,0.025,8,9544
neutral/rep0384,0,2,6670359.0,1670359.0,0.1175,118,7781
neutral/rep0385,0,0,5450214.0,450214.0,0.1975,367,6399
neutral/rep0386,0,0,4673493.0,326507.0,0.0175,1,9666
neutral/rep0387,0,3,5772153.0,772153.0,0.0275,5,9482
neutral/rep0388,0,1,5715116.0,715116.0,0.025,7,9478
neutral/rep0389,0,4,6603756.0,1603756.0,0.0125,3,9720
neutral/rep0390,0,4,7680986.0,2680986.0,0.01,1,9811
neutral/rep0391,0,4,4142836.0,857164.0,0.1225,153,7633
neutral/rep0392,0,2,5004065.0,4065.0,0.0425,22,9174
neutral/rep0393,0,2,5033671.0,33671.0,0.0575,36,8959
neutral/rep0394,0,2,5394750.0,394750.0,0.205,394,6316
neutral/rep0395,0,1,2359334.0,2640666.0,0.01,0,9812
neutral/rep0396,0,2,4474001.0,525999.0,0.21,427,6204
neutral/rep0397,0,3,5013203.0,13203.0,0.1675,274,6954
neutral/rep0398,0,0,4923473.0,76527.0,0.0525,25,8933
neutral/rep0399,0,4,7829015.0,2829015.0,0.105,104,8043
neutral/rep0400,0,1,5002102.0,2102.0,0.045,21,9155
neutral/rep0401,0,1,535478.0,4464522.0,0.0525,25,8967
neutral/rep0402,0,2,5757203.0,757203.0,0.0425,16,9163
neutral/rep0403,0,3,3650761.0,1349239.0,0.03,8,9419
neutral/rep0404,0,0,5021527.0,21527.0,0.1625,247,7055
neutral/rep0405,0,4,4862877.0,137123.0,0.06,34,8773
neutral/rep0406,0,0,4684137.0,315863.0,0.07,51,8696
neutral/rep0407,0,0,3765777.0,1234223.0,0.0325,8,9375
neutral/rep0408,0,4,4463346.0,536654.0,0.055,29,8926
neutral/rep0409,0,4,4828167.0,171833.0,0.0125,0,9736
neutral/rep0410,0,0,5047216.0,47216.0,0.035,11,9324
neutral/rep0411,0,4,4999138.0,862.0,0.1975,414,6462
neutral/rep0412,0,2,5000000.0,0.0,0.33,1089,4558
neutral/rep0413,0,4,4999774.0,226.0,0.2025,410,6475
neutral/rep0414,0,4,6879929.0,1879929.0,0.13,163,7508
neutral/rep0415,0,0,5206957.0,206957.0,0.4425,1941,3032
neutral/rep0416,0,3,5003568.0,3568.0,0.1825,332,6771
neutral/rep0417,0,4,5002732.0,2732.0,0.09,85,8282
neutral/rep0418,0,4,,,0.0,0,0
neutral/rep0419,0,4,5709095.0,709095.0,0.3875,1446,3842
neutral/rep0420,0,4,5000000.0,0.0,0.2975,879,4914
neutral/rep0421,0,4,4916459.0,83541.0,0.015,2,9712
neutral/rep0422,0,3,7202751.0,2202751.0,0.0425,16,9199
neutral/rep0423,0,3,4997290.0,2710.0,0.1625,264,6978
neutral/rep0424,0,0,5712539.0,712539.0,0.0675,53,8729
neutral/rep0425,0,0,6082114.0,1082114.0,0.3875,1523,3672
neutral/rep0426,0,1,4369935.0,630065.0,0.03,9,9385
neutral/rep0427,0,0,5154655.0,154655.0,0.1,92,8071
neutral/rep0428,0,4,3160374.0,1839626.0,0.265,737,5454
neutral/rep0429,0,1,4558072.0,441928.0,0.025,8,9510
neutral/rep0430,0,2,5665037.0,665037.0,0.01,2,9788
neutral/rep0431,0,1,6880529.0,1880529.0,0.0225,4,9548
neutral/rep0432,0,4,5283593.0,283593.0,0.0675,45,8667
neutral/rep0433,0,2,4686320.0,313680.0,0.1825,338,6687
neutral/rep0434,0,0,4604723.0,395277.0,0.11,116,7885
neutral/rep0435,0,4,5509562.0,509562.0,0.0425,15,9158
neutral/rep0436,0,2,3849819.0,1150181.0,0.015,1,9710
neutral/rep0437,0,0,6313211.0,1313211.0,0.1175,125,7802
neutral/rep0438,0,4,3998927.0,1001073.0,0.01,1,9810
neutral/rep0439,0,3,5805568.0,805568.0,0.0725,50,8602
neutral/rep0440,0,4,5171068.0,171068.0,0.0075,0,9838
neutral/rep0441,0,3,6438214.0,1438214.0,0.0225,5,9530
neutral/rep0442,0,1,3331064.0,1668936.0,0.2425,616,5698
neutral/rep0443,0,2,5195134.0,195134.0,0.0075,1,9843
neutral/rep0444,0,4,5394808.0,394808.0,0.19,344,6623
neutral/rep0445,0,1,2380616.0,2619384.0,0.03,6,9439
neutral/rep0446,0,2,4467580.0,532420.0,0.0425,17,9148
neutral/rep0447,0,2,4996873.0,3127.0,0.0275,5,9469
neutral/rep0448,0,1,5000871.0,871.0,0.045,25,9165
neutral/rep0449,0,0,4906765.0,93235.0,0.0825,61,8392
neutral/rep0450,0,3,5634089.0,634089.0,0.0125,1,9775
neutral/rep0451,0,3,5553225.0,553225.0,0.0025,0,9960
neutral/rep0452,0,4,4999397.0,603.0,0.1325,186,7576
neutral/rep0453,0,4,4999342.0,658.0,0.04,10,9242
neutral/rep0454,0,2,5002319.0,2319.0,0.0975,100,8160
neutral/rep0455,0,1,3703935.0,1296065.0,0.0725,50,8629
neutral/rep0456,0,3,5127564.0,127564.0,0.0475,23,9071
neutral/rep0457,0,3,2644916.0,2355084.0,0.04,11,9212
neutral/rep0458,0,1,4998876.0,1124.0,0.0325,12,9318
neutral/rep0459,0,1,5082492.0,82492.0,0.005,0,9904
neutral/rep0460,0,3,4933932.0,66068.0,0.015,1,9687
neutral/rep0461,0,3,5730418.0,730418.0,0.045,18,9144
neutral/rep0462,0,1,4467432.0,532568.0,0.0475,23,9075
neutral/rep0463,0,1,5000925.0,925.0,0.0025,0,9949
neutral/rep0464,0,1,5195087.0,195087.0,0.05,33,9024
neutral/rep0465,0,0,6859220.0,1859220.0,0.1775,323,6793
neutral/rep0466,0,1,5001837.0,1837.0,0.2675,686,5345
neutral/rep0467,0,0,4951544.0,48456.0,0.0675,47,8673
neutral/rep0468,0,1,5194086.0,194086.0,0.1125,101,7855
neutral/rep0469,0,3,4999369.0,631.0,0.13,163,7597
neutral/rep0470,0,1,4731662.0,268338.0,0.095,85,8198
neutral/rep0471,0,3,2487092.0,2512908.0,0.2425,598,5750
neutral/rep0472,0,0,4999869.0,131.0,0.2025,415,6308
neutral/rep0473,0,2,5953800.0,953800.0,0.0675,47,8698
neutral/rep0474,0,4,4581132.0,418868.0,0.39,1461,3779
neutral/rep0475,0,0,4744208.0,255792.0,0.065,55,8710
neutral/rep0476,0,2,4999553.0,447.0,0.0875,77,8292
neutral/rep0477,0,4,,,0.0,0,0
neutral/rep0478,0,0,5932509.0,932509.0,0.05,25,9080
neutral/rep0479,0,4,9099879.0,4099879.0,0.1675,287,6954
neutral/rep0480,0,4,3522732.0,1477268.0,0.0925,78,8218
neutral/rep0481,0,4,4743401.0,256599.0,0.005,0,9910
neutral/rep0482,0,4,4129195.0,870805.0,0.12,119,7812
neutral/rep0483,0,4,5994557.0,994557.0,0.1475,228,7233
neutral/rep0484,0,2,5103515.0,103515.0,0.1,112,8160
neutral/rep0485,0,4,4999070.0,930.0,0.0375,10,9250
neutral/rep0486,0,1,4754611.0,245389.0,0.0325,12,9356
neutral/rep0487,0,2,5384845.0,384845.0,0.0075,0,9842
neutral/rep0488,0,4,4462262.0,537738.0,0.1075,108,7996
neutral/rep0489,0,4,5274680.0,274680.0,0.0025,0,9956
neutral/rep0490,0,4,5034691.0,34691.0,0.1725,323,6776
neutral/rep0491,0,2,4222658.0,777342.0,0.08,65,8450
neutral/rep0492,0,1,7245951.0,2245951.0,0.17,278,6876
neutral/rep0493,0,4,4801007.0,198993.0,0.0525,32,8927
neutral/rep0494,0,4,4999128.0,872.0,0.39,1587,3657
neutral/rep0495,0,2,5266732.0,266732.0,0.14,185,7373
neutral/rep0496,0,3,6417690.0,1417690.0,0.1625,247,7022
neutral/rep0497,0,3,4509830.0,490170.0,0.025,8,9501
neutral/rep0498,0,0,4554172.0,445828.0,0.0075,0,9864
neutral/rep0499,0,4,8524356.0,3524356.0,0.1775,295,6801
neutral/rep0500,0,3,4822694.0,177306.0,0.2575,625,5488
neutral/rep0501,0,2,5000599.0,599.0,0.1925,353,6457
neutral/rep0502,0,3,5000904.0,904.0,0.0775,50,8523
neutral/rep0503,0,1,4574909.0,425091.0,0.0225,7,9527
neutral/rep0504,0,0,4288162.0,711838.0,0.05,25,9006
neutral/rep0505,0,0,3651143.0,1348857.0,0.0675,46,8701
neutral/rep0506,0,0,4793611.0,206389.0,0.1525,244,7132
neutral/rep0507,0,2,6229786.0,1229786.0,0.0475,27,9057
neutral/rep0508,0,1,5799846.0,799846.0,0.085,82,8352
neutral/rep0509,0,3,5966802.0,966802.0,0.0925,84,8271
neutral/rep0510,0,0,4885748.0,114252.0,0.0075,0,9840
neutral/rep0511,0,2,4455451.0,544549.0,0.095,91,8200
neutral/rep0512,0,0,3519148.0,1480852.0,0.03,7,9433
neutral/rep0513,0,4,4161830.0,838170.0,0.2075,413,6385
neutral/rep0514,0,3,4459112.0,540888.0,0.0375,10,9234
neutral/rep0515,0,3,5140787.0,140787.0,0.0125,1,9787
neutral/rep0516,0,2,4607381.0,392619.0,0.05,30,9012
neutral/rep0517,0,4,5140529.0,140529.0,0.2075,426,6267
neutral/rep0518,0,2,4885604.0,114396.0,0.015,4,9710
neutral/rep0519,0,4,4998321.0,1679.0,0.2125,435,6306
neutral/rep0520,0,4,4997498.0,2502.0,0.0525,18,8978
neutral/rep0521,0,1,5032882.0,32882.0,0.0275,14,9416
neutral/rep0522,0,4,4687455.0,312545.0,0.15,225,7228
neutral/rep0523,0,1,5245717.0,245717.0,0.11,143,7899
neutral/rep0524,0,3,4997770.0,2230.0,0.0275,4,9441
neutral/rep0525,0,1,2162410.0,2837590.0,0.12,138,7799
neutral/rep0526,0,3,4316086.0,683914.0,0.1225,151,7730
neutral/rep0527,0,0,7041069.0,2041069.0,0.1,82,8104
neutral/rep0528,0,0,4978712.0,21288.0,0.0625,34,8820
neutral/rep0529,0,0,4999195.0,805.0,0.1625,250,6994
neutral/rep0530,0,1,5222071.0,222071.0,0.0125,0,9754
neutral/rep0531,0,4,4855283.0,144717.0,0.1325,194,7492
neutral/rep0532,0,3,3290782.0,1709218.0,0.2175,450,6193
neutral/rep0533,0,4,5530033.0,530033.0,0.34,1127,4356
neutral/rep0534,0,3,1019343.0,3980657.0,0.065,40,8685
neutral/rep0535,0,1,6845467.0,1845467.0,0.03,9,9403
neutral/rep0536,0,4,5001122.0,1122.0,0.0175,3,9675
neutral/rep0537,0,4,4370757.0,629243.0,0.05,22,9064
neutral/rep0538,0,0,5161708.0,161708.0,0.025,7,9494
neutral/rep0539,0,1,5000671.0,671.0,0.205,440,6348
neutral/rep0540,0,2,4821830.0,178170.0,0.355,1303,4100
neutral/rep0541,0,2,4999703.0,297.0,0.0675,48,8702
neutral/rep0542,0,3,5358005.0,358005.0,0.0675,39,8644
neutral/rep0543,0,0,5829492.0,829492.0,0.015,2,9704
neutral/rep0544,0,2,3109001.0,1890999.0,0.02,4,9589
neutral/rep0545,0,1,4162311.0,837689.0,0.0025,0,9937
neutral/rep0546,0,4,4067997.0,932003.0,0.025,4,9509
neutral/rep0547,0,3,4997734.0,2266.0,0.08,73,8457
neutral/rep0548,0,2,,,0.0,0,0
neutral/rep0549,0,3,9629124.0,4629124.0,0.0425,13,9179
neutral/rep0550,0,3,5000000.0,0.0,0.1475,225,7189
neutral/rep0551,0,3,4343200.0,656800.0,0.1425,204,7333
neutral/rep0552,0,4,3710295.0,1289705.0,0.125,139,7663
neutral/rep0553,0,1,5002616.0,2616.0,0.0575,32,8925
neutral/rep0554,0,2,5231009.0,231009.0,0.055,42,8910
neutral/rep0555,0,0,5209807.0,209807.0,0.02,2,9588
neutral/rep0556,0,3,5010808.0,10808.0,0.005,0,9903
neutral/rep0557,0,4,5000723.0,723.0,0.0625,43,8760
neutral/rep0558,0,4,4034899.0,965101.0,0.0125,1,9770
neutral/rep0559,0,0,5151586.0,151586.0,0.115,124,7811
neutral/rep0560,0,2,5575270.0,575270.0,0.0225,4,9524
neutral/rep0561,0,2,2744627.0,2255373.0,0.035,16,9294
neutral/rep0562,0,4,4305823.0,694177.0,0.1025,92,8098
neutral/rep0563,0,1,6445512.0,1445512.0,0.18,330,6731
neutral/rep0564,0,2,5010562.0,10562.0,0.0125,1,9730
neutral/rep0565,0,3,5000151.0,151.0,0.1175,137,7717
neutral/rep0566,0,1,4951769.0,48231.0,0.16,253,7065
neutral/rep0567,0,2,5486904.0,486904.0,0.0025,0,9953
neutral/rep0568,0,4,5400208.0,400208.0,0.2,404,6315
neutral/rep0569,0,4,2815429.0,2184571.0,0.035,7,9319
neutral/rep0570,0,3,5200315.0,200315.0,0.2775,779,5274
neutral/rep0571,0,1,4874284.0,125716.0,0.2425,603,5726
neutral/rep0572,0,1,5225684.0,225684.0,0.115,114,7887
neutral/rep0573,0,2,5260265.0,260265.0,0.0025,0,9955
neutral/rep0574,0,0,4778781.0,221219.0,0.0575,36,8870
neutral/rep0575,0,2,4880307.0,119693.0,0.0425,21,9165
neutral/rep0576,0,2,4920307.0,79693.0,0.185,298,6715
neutral/rep0577,0,2,6444862.0,1444862.0,0.06,43,8856
neutral/rep0578,0,4,4277972.0,722028.0,0.0325,4,9335
neutral/rep0579,0,1,5004539.0,4539.0,0.0425,19,9138
neutral/rep0580,0,1,7510691.0,2510691.0,0.0925,78,8257
neutral/rep0581,0,2,4460425.0,539575.0,0.135,185,7465
neutral/rep0582,0,0,5003714.0,3714.0,0.12,154,7764
neutral/rep0583,0,0,5530223.0,530223.0,0.01,1,9799
neutral/rep0584,0,4,5016291.0,16291.0,0.0325,11,9356
neutral/rep0585,0,0,4278224.0,721776.0,0.2225,528,5979
neutral/rep0586,0,2,6843846.0,1843846.0,0.03,8,9428
neutral/rep0587,0,4,4582807.0,417193.0,0.025,5,9496
neutral/rep0588,0,1,5537410.0,537410.0,0.19,348,6528
neutral/rep0589,0,1,5109544.0,109544.0,0.005,0,9907
neutral/rep0590,0,1,5000343.0,343.0,0.125,140,7633
neutral/rep0591,0,1,4993333.0,6667.0,0.18,327,6715
neutral/rep0592,0,3,4830050.0,169950.0,0.1325,172,7536
neutral/rep0593,0,3,4594063.0,405937.0,0.0125,1,9751
neutral/rep0594,0,4,3379594.0,1620406.0,0.0325,7,9357
neutral/rep0595,0,2,5002469.0,2469.0,0.015,1,9708
neutral/rep0596,0,0,4921289.0,78711.0,0.1375,196,7443
neutral/rep0597,0,0,4537256.0,462744.0,0.1925,360,6598
neutral/rep0598,0,0,5001425.0,1425.0,0.1325,166,7580
neutral/rep0599,0,4,4772808.0,227192.0,0.05,19,9000
neutral/rep0600,0,2,4711908.0,288092.0,0.0375,19,9266
neutral/rep0601,0,1,4902047.0,97953.0,0.1425,196,7385
neutral/rep0602,0,2,4845926.0,154074.0,0.2325,560,5864
neutral/rep0603,0,0,5561634.0,561634.0,0.175,302,6788
neutral/rep0604,0,1,5312630.0,312630.0,0.1175,133,7802
neutral/rep0605,0,1,7132104.0,2132104.0,0.0875,82,8329
neutral/rep0606,0,0,4843739.0,156261.0,0.06,32,8832
neutral/rep0607,0,4,4996209.0,3791.0,0.055,24,8952
neutral/rep0608,0,4,5439374.0,439374.0,0.025,6,9523
neutral/rep0609,0,1,5311657.0,311657.0,0.015,1,9714
neutral/rep0610,0,4,4568192.0,431808.0,0.195,344,6510
neutral/rep0611,0,0,5372457.0,372457.0,0.16,258,6990
neutral/rep0612,0,0,5253695.0,253695.0,0.1,110,8088
neutral/rep0613,0,3,4093786.0,906214.0,0.0525,25,8934
neutral/rep0614,0,3,5863701.0,863701.0,0.015,1,9717
neutral/rep0615,0,3,5360421.0,360421.0,0.03,9,9440
neutral/rep0616,0,2,5123920.0,123920.0,0.05,20,9015
neutral/rep0617,0,0,4974349.0,25651.0,0.0125,0,9762
neutral/rep0618,0,3,5148650.0,148650.0,0.035,9,9318
neutral/rep0619,0,3,6777282.0,1777282.0,0.2025,404,6338
neutral/rep0620,0,4,6703324.0,1703324.0,0.07,51,8634
neutral/rep0621,0,4,4999784.0,216.0,0.085,63,8423
neutral/rep0622,0,4,5656568.0,656568.0,0.075,57,8497
neutral/rep0623,0,2,4827001.0,172999.0,0.025,8,9520
neutral/rep0624,0,3,4278859.0,721141.0,0.055,31,8956
neutral/rep0625,0,2,4787263.0,212737.0,0.055,25,8966
neutral/rep0626,0,1,6125482.0,1125482.0,0.08,58,8450
neutral/rep0627,0,3,4510429.0,489571.0,0.0675,39,8675
neutral/rep0628,0,3,5016131.0,16131.0,0.1025,93,8000
neutral/rep0629,0,0,5000540.0,540.0,0.31,957,4720
neutral/rep0630,0,0,4891810.0,108190.0,0.4225,1751,3437
neutral/rep0631,0,4,5165654.0,165654.0,0.0025,0,9946
neutral/rep0632,0,1,,,0.0,0,0
neutral/rep0633,0,0,4982454.0,17546.0,0.0075,1,9823
neutral/rep0634,0,4,5503647.0,503647.0,0.045,16,9144
neutral/rep0635,0,2,5088449.0,88449.0,0.1125,123,7928
neutral/rep0636,0,1,1967424.0,3032576.0,0.17,279,6916
neutral/rep0637,0,2,5457031.0,457031.0,0.09,90,8276
neutral/rep0638,0,3,5823820.0,823820.0,0.14,197,7418
neutral/rep0639,0,4,4820459.0,179541.0,0.0425,12,9186
neutral/rep0640,0,4,,,0.0,0,0
neutral/rep0641,0,0,4999019.0,981.0,0.0075,0,9859
neutral/rep0642,0,1,6564286.0,1564286.0,0.33,1117,4462
neutral/rep0643,0,2,5332095.0,332095.0,0.0125,1,9761
neutral/rep0644,0,4,5967273.0,967273.0,0.08,61,8453
neutral/rep0645,0,4,4050241.0,949759.0,0.015,2,9727
neutral/rep0646,0,1,4541124.0,458876.0,0.04,17,9262
neutral/rep0647,0,2,4923639.0,76361.0,0.13,184,7583
neutral/rep0648,0,2,4962247.0,37753.0,0.0475,18,9113
neutral/rep0649,0,4,5001644.0,1644.0,0.1325,178,7463
neutral/rep0650,0,3,4976352.0,23648.0,0.085,63,8349
neutral/rep0651,0,0,7597872.0,2597872.0,0.1475,218,7286
neutral/rep0652,0,4,5048504.0,48504.0,0.0175,1,9653
neutral/rep0653,0,1,4939799.0,60201.0,0.005,0,9886
neutral/rep0654,0,1,6744813.0,1744813.0,0.1475,217,7242
neutral/rep0655,0,3,5704953.0,704953.0,0.0225,4,9560
neutral/rep0656,0,2,5052124.0,52124.0,0.02,5,9621
neutral/rep0657,0,2,7132677.0,2132677.0,0.2175,471,6087
neutral/rep0658,0,1,4206167.0,793833.0,0.135,176,7476
neutral/rep0659,0,2,5203918.0,203918.0,0.075,55,8592
neutral/rep0660,0,1,4998864.0,1136.0,0.145,200,7355
neutral/rep0661,0,3,4488596.0,511404.0,0.0025,0,9961
neutral/rep0662,0,4,6666989.0,1666989.0,0.03,10,9404
neutral/rep0663,0,1,4964093.0,35907.0,0.19,341,6541
neutral/rep0664,0,1,2846732.0,2153268.0,0.3125,949,4685
neutral/rep0665,0,1,4245435.0,754565.0,0.3875,1464,3750
neutral/rep0666,0,3,5189102.0,189102.0,0.125,134,7716
neutral/rep0667,0,1,6710213.0,1710213.0,0.0225,3,9541
neutral/rep0668,0,2,4822589.0,177411.0,0.035,10,9301
neutral/rep0669,0,0,5041184.0,41184.0,0.065,34,8750
neutral/rep0670,0,4,4999685.0,315.0,0.0125,2,9754
neutral/rep0671,0,4,,,0.0,0,0
neutral/rep0672,0,1,4821707.0,178293.0,0.0825,70,8363
neutral/rep0673,0,1,5028018.0,28018.0,0.07,61,8621
neutral/rep0674,0,2,2761818.0,2238182.0,0.34,1162,4341
neutral/rep0675,0,3,6933001.0,1933001.0,0.0825,59,8398
neutral/rep0676,0,2,5806391.0,806391.0,0.0325,8,9380
neutral/rep0677,0,3,4999205.0,795.0,0.0175,4,9656
neutral/rep0678,0,4,4988910.0,11090.0,0.0275,3,9491
neutral/rep0679,0,2,4989590.0,10410.0,0.01,1,9783
neutral/rep0680,0,4,4998733.0,1267.0,0.295,839,5015
neutral/rep0681,0,3,4635454.0,364546.0,0.095,106,8205
neutral/rep0682,0,0,3497843.0,1502157.0,0.055,22,8935
neutral/rep0683,0,0,4742967.0,257033.0,0.0675,51,8665
neutral/rep0684,0,2,5000495.0,495.0,0.0075,0,9838
neutral/rep0685,0,1,5231783.0,231783.0,0.215,463,6116
neutral/rep0686,0,1,5597423.0,597423.0,0.075,72,8520
neutral/rep0687,0,0,5784908.0,784908.0,0.0125,1,9759
neutral/rep0688,0,4,3572520.0,1427480.0,0.025,10,9505
neutral/rep0689,0,1,5086165.0,86165.0,0.215,447,6153
neutral/rep0690,0,2,4871193.0,128807.0,0.0375,14,9239
neutral/rep0691,0,0,5621711.0,621711.0,0.055,19,8984
neutral/rep0692,0,2,4996940.0,3060.0,0.035,13,9332
neutral/rep0693,0,0,4781403.0,218597.0,0.105,99,8017
neutral/rep0694,0,2,6251894.0,1251894.0,0.005,0,9898
neutral/rep0695,0,0,5000412.0,412.0,0.4575,2059,2955
neutral/rep0696,0,3,5001210.0,1210.0,0.09,67,8256
neutral/rep0697,0,2,5001844.0,1844.0,0.18,346,6685
neutral/rep0698,0,2,4075689.0,924311.0,0.13,171,7516
neutral/rep0699,0,3,7075254.0,2075254.0,0.035,7,9297
neutral/rep0700,0,3,3833345.0,1166655.0,0.065,44,8816
neutral/rep0701,0,4,4747035.0,252965.0,0.0075,1,9862
neutral/rep0702,0,0,4726739.0,273261.0,0.08,66,8447
neutral/rep0703,0,3,4789754.0,210246.0,0.0125,3,9770
neutral/rep0704,0,1,5455148.0,455148.0,0.1075,112,7982
neutral/rep0705,0,0,5069010.0,69010.0,0.04,18,9214
neutral/rep0706,0,0,4999977.0,23.0,0.0525,25,9035
neutral/rep0707,0,2,5077775.0,77775.0,0.14,184,7394
neutral/rep0708,0,2,4745543.0,254457.0,0.0875,72,8302
neutral/rep0709,0,3,5095010.0,95010.0,0.39,1527,3815
neutral/rep0710,0,1,4995405.0,4595.0,0.2025,403,6396
neutral/rep0711,0,0,2475388.0,2524612.0,0.05,18,9051
neutral/rep0712,0,2,4805549.0,194451.0,0.02,4,9597
neutral/rep0713,0,0,4141449.0,858551.0,0.0375,8,9244
neutral/rep0714,0,4,8000037.0,3000037.0,0.145,216,7337
neutral/rep0715,0,4,2569931.0,2430069.0,0.0075,1,9853
neutral/rep0716,0,3,4870065.0,129935.0,0.12,137,7672
neutral/rep0717,0,0,4884857.0,115143.0,0.165,289,6978
neutral/rep0718,0,2,5001968.0,1968.0,0.02,7,9613
neutral/rep0719,0,2,5092329.0,92329.0,0.1,110,8112
neutral/rep0720,0,4,5016503.0,16503.0,0.0525,30,8923
neutral/rep0721,0,2,5001289.0,1289.0,0.0725,40,8614
neutral/rep0722,0,0,4183555.0,816445.0,0.02,5,9592
neutral/rep0723,0,3,5058586.0,58586.0,0.105,111,8032
neutral/rep0724,0,3,4367779.0,632221.0,0.025,4,9475
neutral/rep0725,0,4,5001347.0,1347.0,0.0375,12,9256
neutral/rep0726,0,3,4987772.0,12228.0,0.105,112,7960
neutral/rep0727,0,1,9245975.0,4245975.0,0.3275,1047,4580
