source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,selected_n,selected_called,selected_fraction,neutral_n,neutral_called,neutral_fraction,nonfixed_n,nonfixed_fraction
decoded,30000,0.01,10000,1,5,100,62,0.62,1000,525,0.525,99,0.6161616161616161
decoded,30000,0.01,10000,1,10,100,24,0.24,1000,151,0.151,99,0.24242424242424243
decoded,30000,0.01,10000,1,20,100,4,0.04,1000,12,0.012,99,0.04040404040404041
decoded,30000,0.01,20000,0,1,100,89,0.89,1000,851,0.851,99,0.8888888888888888
decoded,30000,0.01,20000,0,3,100,56,0.56,1000,454,0.454,99,0.5656565656565656
decoded,30000,0.01,20000,0,5,100,26,0.26,1000,157,0.157,99,0.26262626262626265
decoded,30000,0.01,20000,0,10,100,5,0.05,1000,9,0.009,99,0.050505050505050504
decoded,30000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,20000,1,1,100,89,0.89,1000,851,0.851,99,0.8888888888888888
decoded,30000,0.01,20000,1,3,100,61,0.61,1000,484,0.484,99,0.6161616161616161
decoded,30000,0.01,20000,1,5,100,30,0.3,1000,180,0.18,99,0.30303030303030304
decoded,30000,0.01,20000,1,10,100,7,0.07,1000,16,0.016,99,0.0707070707070707
decoded,30000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,50000,0,1,100,80,0.8,1000,757,0.757,99,0.797979797979798
decoded,30000,0.01,50000,0,3,100,20,0.2,1000,93,0.093,99,0.20202020202020202
decoded,30000,0.01,50000,0,5,100,6,0.06,1000,4,0.004,99,0.06060606060606061
decoded,30000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,50000,1,1,100,80,0.8,1000,757,0.757,99,0.797979797979798
decoded,30000,0.01,50000,1,3,100,22,0.22,1000,113,0.113,99,0.2222222222222222
decoded,30000,0.01,50000,1,5,100,6,0.06,1000,5,0.005,99,0.06060606060606061
decoded,30000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,30000,0.05,10000,0,3,100,100,1.0,1000,999,0.999,99,1.0
decoded,30000,0.05,10000,0,5,100,99,0.99,1000,973,0.973,99,0.98989898989899
decoded,30000,0.05,10000,0,10,100,77,0.77,1000,649,0.649,99,0.7676767676767676
decoded,30000,0.05,10000,0,20,100,28,0.28,1000,133,0.133,99,0.2727272727272727
decoded,30000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,30000,0.05,10000,1,3,100,100,1.0,1000,999,0.999,99,1.0
decoded,30000,0.05,10000,1,5,100,100,1.0,1000,976,0.976,99,1.0
decoded,30000,0.05,10000,1,10,100,80,0.8,1000,693,0.693,99,0.797979797979798
decoded,30000,0.05,10000,1,20,100,29,0.29,1000,162,0.162,99,0.2828282828282828
decoded,30000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,30000,0.05,20000,0,3,100,100,1.0,1000,965,0.965,99,1.0
decoded,30000,0.05,20000,0,5,100,81,0.81,1000,711,0.711,99,0.8080808080808081
decoded,30000,0.05,20000,0,10,100,33,0.33,1000,158,0.158,99,0.32323232323232326
decoded,30000,0.05,20000,0,20,100,3,0.03,1000,4,0.004,99,0.030303030303030304
decoded,30000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,30000,0.05,20000,1,3,100,100,1.0,1000,971,0.971,99,1.0
decoded,30000,0.05,20000,1,5,100,86,0.86,1000,748,0.748,99,0.8585858585858586
decoded,30000,0.05,20000,1,10,100,35,0.35,1000,206,0.206,99,0.3434343434343434
decoded,30000,0.05,20000,1,20,100,3,0.03,1000,10,0.01,99,0.030303030303030304
decoded,30000,0.05,50000,0,1,100,100,1.0,1000,998,0.998,99,1.0
decoded,30000,0.05,50000,0,3,100,71,0.71,1000,511,0.511,99,0.7070707070707071
decoded,30000,0.05,50000,0,5,100,24,0.24,1000,119,0.119,99,0.23232323232323232
decoded,30000,0.05,50000,0,10,100,2,0.02,1000,4,0.004,99,0.020202020202020204
decoded,30000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.05,50000,1,1,100,100,1.0,1000,998,0.998,99,1.0
decoded,30000,0.05,50000,1,3,100,75,0.75,1000,583,0.583,99,0.7474747474747475
decoded,30000,0.05,50000,1,5,100,29,0.29,1000,166,0.166,99,0.2828282828282828
decoded,30000,0.05,50000,1,10,100,2,0.02,1000,7,0.007,99,0.020202020202020204
decoded,30000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,10000,0,1,100,38,0.38,1000,308,0.308,99,0.3838383838383838
decoded,40000,0.001,10000,0,3,100,22,0.22,1000,137,0.137,99,0.2222222222222222
decoded,40000,0.001,10000,0,5,100,8,0.08,1000,35,0.035,99,0.08080808080808081
decoded,40000,0.001,10000,0,10,100,1,0.01,1000,1,0.001,99,0.010101010101010102
decoded,40000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,10000,1,1,100,38,0.38,1000,308,0.308,99,0.3838383838383838
decoded,40000,0.001,10000,1,3,100,23,0.23,1000,141,0.141,99,0.23232323232323232
decoded,40000,0.001,10000,1,5,100,8,0.08,1000,37,0.037,99,0.08080808080808081
decoded,40000,0.001,10000,1,10,100,1,0.01,1000,3,0.003,99,0.010101010101010102
decoded,40000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,20000,0,1,100,35,0.35,1000,253,0.253,99,0.35353535353535354
decoded,40000,0.001,20000,0,3,100,5,0.05,1000,36,0.036,99,0.050505050505050504
decoded,40000,0.001,20000,0,5,100,1,0.01,1000,3,0.003,99,0.010101010101010102
decoded,40000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,20000,1,1,100,35,0.35,1000,253,0.253,99,0.35353535353535354
decoded,40000,0.001,20000,1,3,100,5,0.05,1000,40,0.04,99,0.050505050505050504
decoded,40000,0.001,20000,1,5,100,1,0.01,1000,6,0.006,99,0.010101010101010102
decoded,40000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,0,1,100,30,0.3,1000,159,0.159,99,0.30303030303030304
decoded,40000,0.001,50000,0,3,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,40000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,1,1,100,30,0.3,1000,159,0.159,99,0.30303030303030304
decoded,40000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,40000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,10000,0,1,100,95,0.95,1000,913,0.913,99,0.9494949494949495
decoded,40000,0.01,10000,0,3,100,86,0.86,1000,747,0.747,99,0.8585858585858586
decoded,40000,0.01,10000,0,5,100,59,0.59,1000,462,0.462,99,0.5858585858585859
decoded,40000,0.01,10000,0,10,100,21,0.21,1000,106,0.106,99,0.21212121212121213
decoded,40000,0.01,10000,0,20,100,4,0.04,1000,2,0.002,99,0.04040404040404041
decoded,40000,0.01,10000,1,1,100,95,0.95,1000,913,0.913,99,0.9494949494949495
decoded,40000,0.01,10000,1,3,100,86,0.86,1000,758,0.758,99,0.8585858585858586
decoded,40000,0.01,10000,1,5,100,61,0.61,1000,483,0.483,99,0.6060606060606061
decoded,40000,0.01,10000,1,10,100,23,0.23,1000,121,0.121,99,0.23232323232323232
decoded,40000,0.01,10000,1,20,100,4,0.04,1000,3,0.003,99,0.04040404040404041
decoded,40000,0.01,20000,0,1,100,94,0.94,1000,888,0.888,99,0.9393939393939394
decoded,40000,0.01,20000,0,3,100,56,0.56,1000,423,0.423,99,0.5656565656565656
decoded,40000,0.01,20000,0,5,100,25,0.25,1000,145,0.145,99,0.25252525252525254
decoded,40000,0.01,20000,0,10,100,6,0.06,1000,2,0.002,99,0.06060606060606061
decoded,40000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,20000,1,1,100,94,0.94,1000,888,0.888,99,0.9393939393939394
decoded,40000,0.01,20000,1,3,100,59,0.59,1000,452,0.452,99,0.5858585858585859
decoded,40000,0.01,20000,1,5,100,27,0.27,1000,164,0.164,99,0.26262626262626265
decoded,40000,0.01,20000,1,10,100,6,0.06,1000,4,0.004,99,0.06060606060606061
decoded,40000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,50000,0,1,100,84,0.84,1000,767,0.767,99,0.8383838383838383
decoded,40000,0.01,50000,0,3,100,15,0.15,1000,67,0.067,99,0.15151515151515152
decoded,40000,0.01,50000,0,5,100,3,0.03,1000,1,0.001,99,0.030303030303030304
decoded,40000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,50000,1,1,100,84,0.84,1000,767,0.767,99,0.8383838383838383
decoded,40000,0.01,50000,1,3,100,18,0.18,1000,86,0.086,99,0.18181818181818182
decoded,40000,0.01,50000,1,5,100,3,0.03,1000,2,0.002,99,0.030303030303030304
decoded,40000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,40000,0.05,10000,0,3,100,100,1.0,1000,998,0.998,99,1.0
decoded,40000,0.05,10000,0,5,100,99,0.99,1000,963,0.963,99,0.98989898989899
decoded,40000,0.05,10000,0,10,100,75,0.75,1000,586,0.586,99,0.7474747474747475
decoded,40000,0.05,10000,0,20,100,20,0.2,1000,91,0.091,99,0.20202020202020202
decoded,40000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,40000,0.05,10000,1,3,100,100,1.0,1000,998,0.998,99,1.0
decoded,40000,0.05,10000,1,5,100,100,1.0,1000,969,0.969,99,1.0
decoded,40000,0.05,10000,1,10,100,80,0.8,1000,631,0.631,99,0.797979797979798
decoded,40000,0.05,10000,1,20,100,25,0.25,1000,114,0.114,99,0.24242424242424243
decoded,40000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,40000,0.05,20000,0,3,100,99,0.99,1000,948,0.948,99,0.98989898989899
decoded,40000,0.05,20000,0,5,100,80,0.8,1000,665,0.665,99,0.797979797979798
decoded,40000,0.05,20000,0,10,100,24,0.24,1000,120,0.12,99,0.23232323232323232
decoded,40000,0.05,20000,0,20,100,0,0.0,1000,3,0.003,99,0.0
decoded,40000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,40000,0.05,20000,1,3,100,99,0.99,1000,957,0.957,99,0.98989898989899
decoded,40000,0.05,20000,1,5,100,83,0.83,1000,711,0.711,99,0.8282828282828283
decoded,40000,0.05,20000,1,10,100,27,0.27,1000,166,0.166,99,0.26262626262626265
decoded,40000,0.05,20000,1,20,100,2,0.02,1000,9,0.009,99,0.020202020202020204
decoded,40000,0.05,50000,0,1,100,100,1.0,1000,998,0.998,99,1.0
decoded,40000,0.05,50000,0,3,100,65,0.65,1000,473,0.473,99,0.6464646464646465
decoded,40000,0.05,50000,0,5,100,19,0.19,1000,88,0.088,99,0.18181818181818182
decoded,40000,0.05,50000,0,10,100,1,0.01,1000,2,0.002,99,0.010101010101010102
decoded,40000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,40000,0.05,50000,1,1,100,100,1.0,1000,998,0.998,99,1.0
decoded,40000,0.05,50000,1,3,100,74,0.74,1000,550,0.55,99,0.7373737373737373
decoded,40000,0.05,50000,1,5,100,24,0.24,1000,132,0.132,99,0.23232323232323232
decoded,40000,0.05,50000,1,10,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,40000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,10000,0,1,100,42,0.42,1000,342,0.342,99,0.41414141414141414
decoded,50000,0.001,10000,0,3,100,22,0.22,1000,108,0.108,99,0.2222222222222222
decoded,50000,0.001,10000,0,5,100,7,0.07,1000,31,0.031,99,0.0707070707070707
decoded,50000,0.001,10000,0,10,100,0,0.0,1000,3,0.003,99,0.0
decoded,50000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,10000,1,1,100,42,0.42,1000,342,0.342,99,0.41414141414141414
decoded,50000,0.001,10000,1,3,100,22,0.22,1000,112,0.112,99,0.2222222222222222
decoded,50000,0.001,10000,1,5,100,8,0.08,1000,34,0.034,99,0.08080808080808081
decoded,50000,0.001,10000,1,10,100,0,0.0,1000,4,0.004,99,0.0
decoded,50000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,20000,0,1,100,37,0.37,1000,282,0.282,99,0.36363636363636365
decoded,50000,0.001,20000,0,3,100,5,0.05,1000,28,0.028,99,0.050505050505050504
decoded,50000,0.001,20000,0,5,100,0,0.0,1000,3,0.003,99,0.0
decoded,50000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,20000,1,1,100,37,0.37,1000,282,0.282,99,0.36363636363636365
decoded,50000,0.001,20000,1,3,100,7,0.07,1000,31,0.031,99,0.0707070707070707
decoded,50000,0.001,20000,1,5,100,1,0.01,1000,5,0.005,99,0.010101010101010102
decoded,50000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,0,1,100,25,0.25,1000,160,0.16,99,0.25252525252525254
decoded,50000,0.001,50000,0,3,100,1,0.01,1000,3,0.003,99,0.010101010101010102
decoded,50000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,1,1,100,25,0.25,1000,160,0.16,99,0.25252525252525254
decoded,50000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,50000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,10000,0,1,100,96,0.96,1000,935,0.935,99,0.9595959595959596
decoded,50000,0.01,10000,0,3,100,85,0.85,1000,744,0.744,99,0.8484848484848485
decoded,50000,0.01,10000,0,5,100,58,0.58,1000,434,0.434,99,0.5757575757575758
decoded,50000,0.01,10000,0,10,100,19,0.19,1000,72,0.072,99,0.1919191919191919
decoded,50000,0.01,10000,0,20,100,4,0.04,1000,1,0.001,99,0.04040404040404041
decoded,50000,0.01,10000,1,1,100,96,0.96,1000,935,0.935,99,0.9595959595959596
decoded,50000,0.01,10000,1,3,100,86,0.86,1000,759,0.759,99,0.8585858585858586
decoded,50000,0.01,10000,1,5,100,61,0.61,1000,460,0.46,99,0.6060606060606061
decoded,50000,0.01,10000,1,10,100,20,0.2,1000,90,0.09,99,0.20202020202020202
decoded,50000,0.01,10000,1,20,100,4,0.04,1000,2,0.002,99,0.04040404040404041
decoded,50000,0.01,20000,0,1,100,95,0.95,1000,911,0.911,99,0.9494949494949495
decoded,50000,0.01,20000,0,3,100,57,0.57,1000,394,0.394,99,0.5757575757575758
decoded,50000,0.01,20000,0,5,100,23,0.23,1000,114,0.114,99,0.23232323232323232
decoded,50000,0.01,20000,0,10,100,4,0.04,1000,2,0.002,99,0.04040404040404041
decoded,50000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,20000,1,1,100,95,0.95,1000,911,0.911,99,0.9494949494949495
decoded,50000,0.01,20000,1,3,100,60,0.6,1000,424,0.424,99,0.5959595959595959
decoded,50000,0.01,20000,1,5,100,25,0.25,1000,128,0.128,99,0.24242424242424243
decoded,50000,0.01,20000,1,10,100,4,0.04,1000,6,0.006,99,0.04040404040404041
decoded,50000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,50000,0,1,100,83,0.83,1000,786,0.786,99,0.8282828282828283
decoded,50000,0.01,50000,0,3,100,10,0.1,1000,58,0.058,99,0.10101010101010101
decoded,50000,0.01,50000,0,5,100,3,0.03,1000,0,0.0,99,0.030303030303030304
decoded,50000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,50000,1,1,100,83,0.83,1000,786,0.786,99,0.8282828282828283
decoded,50000,0.01,50000,1,3,100,12,0.12,1000,75,0.075,99,0.12121212121212122
decoded,50000,0.01,50000,1,5,100,3,0.03,1000,1,0.001,99,0.030303030303030304
decoded,50000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,50000,0.05,10000,0,3,100,99,0.99,1000,998,0.998,99,0.98989898989899
decoded,50000,0.05,10000,0,5,100,98,0.98,1000,956,0.956,99,0.9797979797979798
decoded,50000,0.05,10000,0,10,100,64,0.64,1000,528,0.528,99,0.6363636363636364
decoded,50000,0.05,10000,0,20,100,21,0.21,1000,72,0.072,99,0.21212121212121213
decoded,50000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,50000,0.05,10000,1,3,100,100,1.0,1000,998,0.998,99,1.0
decoded,50000,0.05,10000,1,5,100,98,0.98,1000,964,0.964,99,0.9797979797979798
decoded,50000,0.05,10000,1,10,100,69,0.69,1000,582,0.582,99,0.6868686868686869
decoded,50000,0.05,10000,1,20,100,25,0.25,1000,93,0.093,99,0.24242424242424243
decoded,50000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,50000,0.05,20000,0,3,100,97,0.97,1000,949,0.949,99,0.9696969696969697
decoded,50000,0.05,20000,0,5,100,74,0.74,1000,611,0.611,99,0.7373737373737373
decoded,50000,0.05,20000,0,10,100,24,0.24,1000,94,0.094,99,0.23232323232323232
decoded,50000,0.05,20000,0,20,100,0,0.0,1000,3,0.003,99,0.0
decoded,50000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,99,1.0
decoded,50000,0.05,20000,1,3,100,98,0.98,1000,960,0.96,99,0.9797979797979798
decoded,50000,0.05,20000,1,5,100,78,0.78,1000,675,0.675,99,0.7777777777777778
decoded,50000,0.05,20000,1,10,100,29,0.29,1000,128,0.128,99,0.2828282828282828
decoded,50000,0.05,20000,1,20,100,2,0.02,1000,5,0.005,99,0.020202020202020204
decoded,50000,0.05,50000,0,1,100,100,1.0,1000,999,0.999,99,1.0
decoded,50000,0.05,50000,0,3,100,55,0.55,1000,441,0.441,99,0.5454545454545454
decoded,50000,0.05,50000,0,5,100,18,0.18,1000,64,0.064,99,0.1717171717171717
decoded,50000,0.05,50000,0,10,100,0,0.0,1000,1,0.001,99,0.0
decoded,50000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,50000,0.05,50000,1,1,100,100,1.0,1000,999,0.999,99,1.0
decoded,50000,0.05,50000,1,3,100,65,0.65,1000,524,0.524,99,0.6464646464646465
decoded,50000,0.05,50000,1,5,100,21,0.21,1000,101,0.101,99,0.20202020202020202
decoded,50000,0.05,50000,1,10,100,1,0.01,1000,4,0.004,99,0.010101010101010102
decoded,50000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
truth,5000,0.001,10000,0,1,100,14,0.14,1000,105,0.105,99,0.1414141414141414
truth,5000,0.001,10000,0,3,100,6,0.06,1000,60,0.06,99,0.06060606060606061
truth,5000,0.001,10000,0,5,100,5,0.05,1000,36,0.036,99,0.050505050505050504
truth,5000,0.001,10000,0,10,100,0,0.0,1000,9,0.009,99,0.0
truth,5000,0.001,10000,0,20,100,0,0.0,1000,6,0.006,99,0.0
truth,5000,0.001,10000,1,1,100,14,0.14,1000,105,0.105,99,0.1414141414141414
truth,5000,0.001,10000,1,3,100,7,0.07,1000,64,0.064,99,0.0707070707070707
truth,5000,0.001,10000,1,5,100,5,0.05,1000,39,0.039,99,0.050505050505050504
truth,5000,0.001,10000,1,10,100,0,0.0,1000,10,0.01,99,0.0
truth,5000,0.001,10000,1,20,100,0,0.0,1000,6,0.006,99,0.0
truth,5000,0.001,20000,0,1,100,11,0.11,1000,95,0.095,99,0.1111111111111111
truth,5000,0.001,20000,0,3,100,5,0.05,1000,35,0.035,99,0.050505050505050504
truth,5000,0.001,20000,0,5,100,2,0.02,1000,12,0.012,99,0.020202020202020204
truth,5000,0.001,20000,0,10,100,0,0.0,1000,6,0.006,99,0.0
truth,5000,0.001,20000,0,20,100,0,0.0,1000,2,0.002,99,0.0
truth,5000,0.001,20000,1,1,100,11,0.11,1000,95,0.095,99,0.1111111111111111
truth,5000,0.001,20000,1,3,100,5,0.05,1000,39,0.039,99,0.050505050505050504
truth,5000,0.001,20000,1,5,100,2,0.02,1000,15,0.015,99,0.020202020202020204
truth,5000,0.001,20000,1,10,100,0,0.0,1000,6,0.006,99,0.0
truth,5000,0.001,20000,1,20,100,0,0.0,1000,3,0.003,99,0.0
truth,5000,0.001,50000,0,1,100,11,0.11,1000,72,0.072,99,0.1111111111111111
truth,5000,0.001,50000,0,3,100,1,0.01,1000,11,0.011,99,0.010101010101010102
truth,5000,0.001,50000,0,5,100,0,0.0,1000,5,0.005,99,0.0
truth,5000,0.001,50000,0,10,100,0,0.0,1000,1,0.001,99,0.0
truth,5000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
truth,5000,0.001,50000,1,1,100,11,0.11,1000,72,0.072,99,0.1111111111111111
truth,5000,0.001,50000,1,3,100,1,0.01,1000,13,0.013,99,0.010101010101010102
truth,5000,0.001,50000,1,5,100,0,0.0,1000,6,0.006,99,0.0
truth,5000,0.001,50000,1,10,100,0,0.0,1000,2,0.002,99,0.0
truth,5000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
truth,5000,0.01,10000,0,1,100,43,0.43,1000,454,0.454,99,0.42424242424242425
truth,5000,0.01,10000,0,3,100,33,0.33,1000,346,0.346,99,0.32323232323232326
truth,5000,0.01,10000,0,5,100,29,0.29,1000,270,0.27,99,0.2828282828282828
truth,5000,0.01,10000,0,10,100,18,0.18,1000,158,0.158,99,0.18181818181818182
truth,5000,0.01,10000,0,20,100,10,0.1,1000,67,0.067,99,0.10101010101010101
truth,5000,0.01,10000,1,1,100,43,0.43,1000,454,0.454,99,0.42424242424242425
truth,5000,0.01,10000,1,3,100,35,0.35,1000,354,0.354,99,0.3434343434343434
truth,5000,0.01,10000,1,5,100,29,0.29,1000,279,0.279,99,0.2828282828282828
truth,5000,0.01,10000,1,10,100,18,0.18,1000,168,0.168,99,0.18181818181818182
truth,5000,0.01,10000,1,20,100,10,0.1,1000,78,0.078,99,0.10101010101010101
truth,5000,0.01,20000,0,1,100,42,0.42,1000,435,0.435,99,0.41414141414141414
truth,5000,0.01,20000,0,3,100,28,0.28,1000,264,0.264,99,0.2727272727272727
truth,5000,0.01,20000,0,5,100,19,0.19,1000,176,0.176,99,0.1919191919191919
truth,5000,0.01,20000,0,10,100,11,0.11,1000,77,0.077,99,0.1111111111111111
truth,5000,0.01,20000,0,20,100,3,0.03,1000,16,0.016,99,0.030303030303030304
truth,5000,0.01,20000,1,1,100,42,0.42,1000,435,0.435,99,0.41414141414141414
truth,5000,0.01,20000,1,3,100,29,0.29,1000,276,0.276,99,0.2828282828282828
truth,5000,0.01,20000,1,5,100,22,0.22,1000,187,0.187,99,0.21212121212121213
truth,5000,0.01,20000,1,10,100,12,0.12,1000,97,0.097,99,0.12121212121212122
truth,5000,0.01,20000,1,20,100,4,0.04,1000,21,0.021,99,0.04040404040404041
truth,5000,0.01,50000,0,1,100,36,0.36,1000,372,0.372,99,0.35353535353535354
truth,5000,0.01,50000,0,3,100,16,0.16,1000,147,0.147,99,0.16161616161616163
truth,5000,0.01,50000,0,5,100,9,0.09,1000,70,0.07,99,0.09090909090909091
truth,5000,0.01,50000,0,10,100,2,0.02,1000,12,0.012,99,0.020202020202020204
truth,5000,0.01,50000,0,20,100,0,0.0,1000,1,0.001,99,0.0
truth,5000,0.01,50000,1,1,100,36,0.36,1000,372,0.372,99,0.35353535353535354
truth,5000,0.01,50000,1,3,100,17,0.17,1000,155,0.155,99,0.1717171717171717
truth,5000,0.01,50000,1,5,100,10,0.1,1000,84,0.084,99,0.10101010101010101
truth,5000,0.01,50000,1,10,100,2,0.02,1000,21,0.021,99,0.020202020202020204
truth,5000,0.01,50000,1,20,100,0,0.0,1000,2,0.002,99,0.0
truth,5000,0.05,10000,0,1,100,83,0.83,1000,873,0.873,99,0.8282828282828283
truth,5000,0.05,10000,0,3,100,72,0.72,1000,791,0.791,99,0.7171717171717171
truth,5000,0.05,10000,0,5,100,69,0.69,1000,706,0.706,99,0.6868686868686869
truth,5000,0.05,10000,0,10,100,53,0.53,1000,546,0.546,99,0.5252525252525253
truth,5000,0.05,10000,0,20,100,33,0.33,1000,352,0.352,99,0.32323232323232326
truth,5000,0.05,10000,1,1,100,83,0.83,1000,873,0.873,99,0.8282828282828283
truth,5000,0.05,10000,1,3,100,72,0.72,1000,797,0.797,99,0.7171717171717171
truth,5000,0.05,10000,1,5,100,69,0.69,1000,714,0.714,99,0.6868686868686869
truth,5000,0.05,10000,1,10,100,57,0.57,1000,570,0.57,99,0.5656565656565656
truth,5000,0.05,10000,1,20,100,35,0.35,1000,377,0.377,99,0.3434343434343434
truth,5000,0.05,20000,0,1,100,81,0.81,1000,862,0.862,99,0.8080808080808081
truth,5000,0.05,20000,0,3,100,68,0.68,1000,702,0.702,99,0.6767676767676768
truth,5000,0.05,20000,0,5,100,57,0.57,1000,576,0.576,99,0.5656565656565656
truth,5000,0.05,20000,0,10,100,37,0.37,1000,371,0.371,99,0.36363636363636365
truth,5000,0.05,20000,0,20,100,15,0.15,1000,144,0.144,99,0.15151515151515152
truth,5000,0.05,20000,1,1,100,81,0.81,1000,862,0.862,99,0.8080808080808081
truth,5000,0.05,20000,1,3,100,68,0.68,1000,716,0.716,99,0.6767676767676768
truth,5000,0.05,20000,1,5,100,59,0.59,1000,601,0.601,99,0.5858585858585859
truth,5000,0.05,20000,1,10,100,37,0.37,1000,398,0.398,99,0.36363636363636365
truth,5000,0.05,20000,1,20,100,18,0.18,1000,172,0.172,99,0.18181818181818182
truth,5000,0.05,50000,0,1,100,75,0.75,1000,808,0.808,99,0.7474747474747475
